thr,n,rho_state,p,rho_episode,within_median,mean_avail
0.02,112,0.7141500058073484,9.618397334677149e-19,0.7414384660570237,0.6728479067832099,0.10448196074417151
0.05,112,0.7105847347635939,1.7043101662810701e-18,0.7355792423027366,0.7270934254140232,0.08318777288292549
0.1,112,0.6591723978629147,2.752912048939931e-15,0.683485935262938,0.8161361439272874,0.06196354888467136
