region,season,year,subset,nsat,H_state3
AKcorr_3,freeze-up,2019,A,1,0.5512354788066249
AKcorr_3,freeze-up,2019,AB,2,0.6155182129525669
AKcorr_3,freeze-up,2019,B,1,0.3572270753196459
AKcorr_3,freeze-up,2020,A,1,0.5329045060349328
AKcorr_3,freeze-up,2020,AB,2,0.5933212321522876
AKcorr_3,freeze-up,2020,B,1,0.3345247269019799
AKcorr_3,freeze-up,2021,A,1,0.5604254797963327
AKcorr_3,freeze-up,2021,AB,2,0.6334185854324377
AKcorr_3,freeze-up,2021,B,1,0.39437589667987916
AKcorr_3,freeze-up,2025,A,1,0.5624067284456942
AKcorr_3,freeze-up,2025,AC,2,0.6713406568897317
AKcorr_3,freeze-up,2025,C,1,0.44540052618627857
AKcorr_3,melt,2019,A,1,0.3958234564462017
AKcorr_3,melt,2019,AB,2,0.4196503370292141
AKcorr_3,melt,2019,B,1,0.2686595625773575
AKcorr_3,melt,2020,A,1,0.35324360082210565
AKcorr_3,melt,2020,AB,2,0.3817604254918577
AKcorr_3,melt,2020,B,1,0.24462034530913498
AKcorr_3,melt,2021,A,1,0.3632626444025816
AKcorr_3,melt,2021,AB,2,0.42183440047451465
AKcorr_3,melt,2021,B,1,0.23676195400735447
AKcorr_3,melt,2025,A,1,0.3633629457125569
AKcorr_3,melt,2025,AC,2,0.4537948822436494
AKcorr_3,melt,2025,C,1,0.27652064185345765
AKcorr_3,melt,2026,A,1,0.0
AKcorr_3,melt,2026,AC,2,0.24259286708825628
AKcorr_3,melt,2026,ACD,3,0.40142329826933487
AKcorr_3,melt,2026,AD,2,0.31980779060530395
AKcorr_3,melt,2026,C,1,0.24259286708825628
AKcorr_3,melt,2026,CD,2,0.40142329826933487
AKcorr_3,melt,2026,D,1,0.31980779060530395
AKcorr_3,winter,2019,A,1,0.49413255727348476
AKcorr_3,winter,2019,AB,2,0.5283049967004708
AKcorr_3,winter,2019,B,1,0.17908233256258876
AKcorr_3,winter,2020,A,1,0.4829478481608154
AKcorr_3,winter,2020,AB,2,0.5461358058005756
AKcorr_3,winter,2020,B,1,0.27944284751721304
AKcorr_3,winter,2021,A,1,0.502328415617332
AKcorr_3,winter,2021,AB,2,0.554623117008934
AKcorr_3,winter,2021,B,1,0.2935339677994913
AKcorr_3,winter,2025,A,1,0.4891130868163122
AKcorr_3,winter,2025,AC,2,0.4894827369912131
AKcorr_3,winter,2025,C,1,0.0
AKcorr_3,winter,2026,A,1,0.47094351773757387
AKcorr_3,winter,2026,AC,2,0.6062259051362914
AKcorr_3,winter,2026,ACD,3,0.6062259051362914
AKcorr_3,winter,2026,AD,2,0.47094351773757387
AKcorr_3,winter,2026,C,1,0.4040602304697268
AKcorr_3,winter,2026,CD,2,0.4040602304697268
AKcorr_3,winter,2026,D,1,0.0
AKcorr_4,freeze-up,2019,A,1,0.5154765011231576
AKcorr_4,freeze-up,2019,AB,2,0.590029579393973
AKcorr_4,freeze-up,2019,B,1,0.3836537526499756
AKcorr_4,freeze-up,2020,A,1,0.496434502906588
AKcorr_4,freeze-up,2020,AB,2,0.5748779341525706
AKcorr_4,freeze-up,2020,B,1,0.37214344689160167
AKcorr_4,freeze-up,2021,A,1,0.5218372878414446
AKcorr_4,freeze-up,2021,AB,2,0.6022115471697417
AKcorr_4,freeze-up,2021,B,1,0.41378195487986535
AKcorr_4,freeze-up,2025,A,1,0.5250056837941453
AKcorr_4,freeze-up,2025,AC,2,0.6743070989438102
AKcorr_4,freeze-up,2025,C,1,0.5098161992542084
AKcorr_4,melt,2019,A,1,0.36375679315620457
AKcorr_4,melt,2019,AB,2,0.39402156851967257
AKcorr_4,melt,2019,B,1,0.29794296613840476
AKcorr_4,melt,2020,A,1,0.34191178764345465
AKcorr_4,melt,2020,AB,2,0.38677105686085556
AKcorr_4,melt,2020,B,1,0.25862208997123737
AKcorr_4,melt,2021,A,1,0.3476176132717218
AKcorr_4,melt,2021,AB,2,0.40918677204185644
AKcorr_4,melt,2021,B,1,0.25951010466997915
AKcorr_4,melt,2025,A,1,0.3456123390076118
AKcorr_4,melt,2025,AC,2,0.43634626277051897
AKcorr_4,melt,2025,C,1,0.29454358911548517
AKcorr_4,melt,2026,A,1,0.04960641744446128
AKcorr_4,melt,2026,AC,2,0.22825776019409744
AKcorr_4,melt,2026,ACD,3,0.3845749061462647
AKcorr_4,melt,2026,AD,2,0.3248417851187994
AKcorr_4,melt,2026,C,1,0.21927778027111366
AKcorr_4,melt,2026,CD,2,0.3814708994648899
AKcorr_4,melt,2026,D,1,0.3213743231625355
AKcorr_4,winter,2019,A,1,0.4586322454714335
AKcorr_4,winter,2019,AB,2,0.48485163428008116
AKcorr_4,winter,2019,B,1,0.136513642143689
AKcorr_4,winter,2020,A,1,0.44952484616895116
AKcorr_4,winter,2020,AB,2,0.5230357164448772
AKcorr_4,winter,2020,B,1,0.30943338510091045
AKcorr_4,winter,2021,A,1,0.47122734545498024
AKcorr_4,winter,2021,AB,2,0.5405324493200592
AKcorr_4,winter,2021,B,1,0.31644424849340186
AKcorr_4,winter,2025,A,1,0.4569571381535033
AKcorr_4,winter,2025,AC,2,0.4608692298859355
AKcorr_4,winter,2025,C,1,0.0
AKcorr_4,winter,2026,A,1,0.4350857905595678
AKcorr_4,winter,2026,AC,2,0.6053562956242358
AKcorr_4,winter,2026,ACD,3,0.6053562956242358
AKcorr_4,winter,2026,AD,2,0.4350857905595678
AKcorr_4,winter,2026,C,1,0.45130126375205387
AKcorr_4,winter,2026,CD,2,0.45130126375205387
AKcorr_4,winter,2026,D,1,0.0
