year,season,days_avail,days_total,mean_frac,region,availability
2025,winter,2,90,0.002088888888888889,AKcorr_2,0.022222222222222223
2019,freeze-up,0,92,0.00019409937888198756,AKcorr_3,0.0
2019,melt,0,122,0.0,AKcorr_3,0.0
2019,winter,4,90,0.006706349206349206,AKcorr_3,0.044444444444444446
2020,freeze-up,0,92,0.0,AKcorr_3,0.0
2020,melt,0,122,0.0,AKcorr_3,0.0
2020,winter,10,91,0.018190737833594976,AKcorr_3,0.10989010989010989
2021,freeze-up,1,92,0.0060753105590062115,AKcorr_3,0.010869565217391304
2021,melt,0,122,0.0,AKcorr_3,0.0
2021,winter,8,90,0.015119047619047619,AKcorr_3,0.08888888888888889
2022,freeze-up,0,92,0.0,AKcorr_3,0.0
2022,melt,0,122,0.0,AKcorr_3,0.0
2022,winter,0,90,0.0,AKcorr_3,0.0
2023,freeze-up,0,92,0.0,AKcorr_3,0.0
2023,melt,0,122,0.0,AKcorr_3,0.0
2023,winter,0,90,0.0,AKcorr_3,0.0
2024,freeze-up,0,92,0.0,AKcorr_3,0.0
2024,melt,0,122,0.0,AKcorr_3,0.0
2024,winter,0,91,0.0,AKcorr_3,0.0
2025,freeze-up,0,32,0.0,AKcorr_3,0.0
2025,melt,0,122,7.318501170960187e-05,AKcorr_3,0.0
2025,winter,0,90,0.0,AKcorr_3,0.0
2019,freeze-up,1,92,0.0006093544137022398,AKcorr_4,0.010869565217391304
2019,melt,0,122,0.0,AKcorr_4,0.0
2019,winter,5,90,0.009696969696969697,AKcorr_4,0.05555555555555555
2020,freeze-up,0,92,9.881422924901186e-05,AKcorr_4,0.0
2020,melt,0,122,0.0,AKcorr_4,0.0
2020,winter,5,91,0.009124209124209125,AKcorr_4,0.054945054945054944
2021,freeze-up,1,92,0.00485836627140975,AKcorr_4,0.010869565217391304
2021,melt,0,122,0.0,AKcorr_4,0.0
2021,winter,9,90,0.019646464646464645,AKcorr_4,0.1
2022,freeze-up,0,92,0.0,AKcorr_4,0.0
2022,melt,0,122,0.0,AKcorr_4,0.0
2022,winter,0,90,3.367003367003367e-05,AKcorr_4,0.0
2023,freeze-up,0,92,0.0,AKcorr_4,0.0
2023,melt,0,122,0.0,AKcorr_4,0.0
2023,winter,0,90,3.367003367003367e-05,AKcorr_4,0.0
