region,year,season,dt_h,O,n_acq
AKcorr_1,2021,melt,48,0.0489,25
AKcorr_1,2021,melt,72,0.0489,25
AKcorr_1,2021,melt,168,0.8689,25
AKcorr_1,2021,freeze-up,6,0.0,27
AKcorr_1,2021,freeze-up,12,0.0,27
AKcorr_1,2021,freeze-up,24,0.0,27
AKcorr_1,2021,freeze-up,48,0.173,27
AKcorr_1,2021,freeze-up,72,0.173,27
AKcorr_1,2021,freeze-up,168,0.9347,27
AKcorr_1,2022,winter,6,0.0,21
AKcorr_1,2022,winter,12,0.0,21
AKcorr_1,2022,winter,24,0.0,21
AKcorr_1,2022,winter,48,0.1326,21
AKcorr_1,2022,winter,72,0.1326,21
AKcorr_1,2022,winter,168,0.9333,21
AKcorr_1,2022,shoulder,6,0.0,10
AKcorr_1,2022,shoulder,12,0.0,10
AKcorr_1,2022,shoulder,24,0.0,10
AKcorr_1,2022,shoulder,48,0.0,10
AKcorr_1,2022,shoulder,72,0.0,10
AKcorr_1,2022,shoulder,168,0.869,10
AKcorr_1,2022,melt,6,0.0,20
AKcorr_1,2022,melt,12,0.0,20
AKcorr_1,2022,melt,24,0.0,20
AKcorr_1,2022,melt,48,0.0,20
AKcorr_1,2022,melt,72,0.0,20
AKcorr_1,2022,melt,168,0.9263,20
AKcorr_1,2022,freeze-up,6,0.0,15
AKcorr_1,2022,freeze-up,12,0.0,15
AKcorr_1,2022,freeze-up,24,0.0,15
AKcorr_1,2022,freeze-up,48,0.0216,15
AKcorr_1,2022,freeze-up,72,0.0216,15
AKcorr_1,2022,freeze-up,168,0.8042,15
AKcorr_1,2023,winter,6,0.0,15
AKcorr_1,2023,winter,12,0.0,15
AKcorr_1,2023,winter,24,0.0,15
AKcorr_1,2023,winter,48,0.0,15
AKcorr_1,2023,winter,72,0.0,15
AKcorr_1,2023,winter,168,0.9333,15
AKcorr_1,2023,shoulder,6,0.0,10
AKcorr_1,2023,shoulder,12,0.0,10
AKcorr_1,2023,shoulder,24,0.0,10
AKcorr_1,2023,shoulder,48,0.0,10
AKcorr_1,2023,shoulder,72,0.0,10
AKcorr_1,2023,shoulder,168,0.869,10
AKcorr_1,2023,melt,6,0.0,21
AKcorr_1,2023,melt,12,0.0,21
AKcorr_1,2023,melt,24,0.0,21
AKcorr_1,2023,melt,48,0.0,21
AKcorr_1,2023,melt,72,0.0,21
AKcorr_1,2023,melt,168,0.9836,21
AKcorr_1,2023,freeze-up,6,0.0,15
AKcorr_1,2023,freeze-up,12,0.0,15
AKcorr_1,2023,freeze-up,24,0.0,15
AKcorr_1,2023,freeze-up,48,0.0,15
AKcorr_1,2023,freeze-up,72,0.0,15
AKcorr_1,2023,freeze-up,168,0.9131,15
AKcorr_1,2024,winter,6,0.0,18
AKcorr_1,2024,winter,12,0.0,18
AKcorr_1,2024,winter,24,0.0,18
AKcorr_1,2024,winter,48,0.1311,18
AKcorr_1,2024,winter,72,0.1311,18
AKcorr_1,2024,winter,168,0.6043,18
AKcorr_1,2024,shoulder,6,0.0,12
AKcorr_1,2024,shoulder,12,0.0,12
AKcorr_1,2024,shoulder,24,0.0,12
AKcorr_1,2024,shoulder,48,0.0978,12
AKcorr_1,2024,shoulder,72,0.0978,12
AKcorr_1,2024,shoulder,168,0.7374,12
AKcorr_1,2024,melt,6,0.0,24
AKcorr_1,2024,melt,12,0.0,24
AKcorr_1,2024,melt,24,0.0,24
AKcorr_1,2024,melt,48,0.0815,24
AKcorr_1,2024,melt,72,0.0815,24
AKcorr_1,2024,melt,168,0.8032,24
AKcorr_1,2024,freeze-up,6,0.0,21
AKcorr_1,2024,freeze-up,12,0.0,21
AKcorr_1,2024,freeze-up,24,0.0,21
AKcorr_1,2024,freeze-up,48,0.1297,21
AKcorr_1,2024,freeze-up,72,0.1297,21
AKcorr_1,2024,freeze-up,168,0.8154,21
AKcorr_1,2025,winter,6,0.0,22
AKcorr_1,2025,winter,12,0.0,22
AKcorr_1,2025,winter,24,0.0,22
AKcorr_1,2025,winter,48,0.1768,22
AKcorr_1,2025,winter,72,0.1768,22
AKcorr_1,2025,winter,168,0.8442,22
