region,class,period,year,O24,O12,n_acq
GreenlandSea_Fram,lost,pre,2021,0.9603394736842106,0.060500000000000005,516.0
KaraGate,lost,during,2022,0.0,0.0,76.0
KaraGate,lost,during,2023,0.0,0.0,68.0
KaraGate,lost,during,2024,0.0,0.0,77.0
KaraGate,lost,post,2025,0.09489013157894736,0.0,123.0
KaraGate,lost,post,2026,0.14376263202460002,0.00010373902580328893,88.0
KaraGate,lost,pre,2019,0.2779993421052631,0.0,156.0
KaraGate,lost,pre,2020,0.3292573770491803,0.0,177.0
KaraGate,lost,pre,2021,0.3074098684210526,0.0,172.0
LancasterSound,lost,during,2022,0.0,0.0,136.0
LancasterSound,lost,during,2023,0.0,0.0,137.0
LancasterSound,lost,during,2024,0.0,0.0,143.0
LancasterSound,lost,post,2025,0.5523651315789474,0.003059868421052632,264.0
LancasterSound,lost,post,2026,0.6111297161192567,0.00782895850973751,189.0
LancasterSound,lost,pre,2019,0.7833486842105263,0.013857894736842106,326.0
LancasterSound,lost,pre,2020,0.8035747540983607,0.014044262295081968,332.0
LancasterSound,lost,pre,2021,0.7575651315789473,0.005269078947368421,313.0
LongStrait,lost,during,2022,0.0,0.0,38.0
LongStrait,lost,during,2023,0.0,0.0,38.0
LongStrait,lost,during,2024,0.0,0.0,36.0
LongStrait,lost,post,2025,0.0752,0.0,95.0
LongStrait,lost,post,2026,0.05313239449173315,0.0,79.0
LongStrait,lost,pre,2019,0.12429473684210525,0.0,115.0
LongStrait,lost,pre,2020,0.04564918032786885,0.0,93.0
LongStrait,lost,pre,2021,0.07198815789473684,0.0,99.0
Sannikov_DmLaptev,lost,during,2022,0.0,0.0,35.0
Sannikov_DmLaptev,lost,during,2023,0.0,0.0,24.0
Sannikov_DmLaptev,lost,during,2024,0.0,0.0,34.0
Sannikov_DmLaptev,lost,post,2025,0.003250657894736842,0.0,73.0
Sannikov_DmLaptev,lost,post,2026,0.010633250144837115,0.0,33.0
Sannikov_DmLaptev,lost,pre,2019,0.10141710526315789,0.0,121.0
Sannikov_DmLaptev,lost,pre,2020,0.03586459016393442,0.0,94.0
Sannikov_DmLaptev,lost,pre,2021,0.003290789473684211,0.0,85.0
VictoriaStrait,lost,during,2022,0.0,0.0,57.0
VictoriaStrait,lost,during,2023,0.0,0.0,64.0
VictoriaStrait,lost,during,2024,0.0,0.0,64.0
VictoriaStrait,lost,post,2025,0.2050703947368421,0.015864473684210526,160.0
VictoriaStrait,lost,post,2026,0.30794087971834755,0.0212673024644592,129.0
VictoriaStrait,lost,pre,2019,0.3565381578947368,0.0,190.0
VictoriaStrait,lost,pre,2020,0.3651826229508197,0.0,194.0
VictoriaStrait,lost,pre,2021,0.3107875,0.0,179.0
Vilkitsky,lost,during,2022,0.0031677631578947364,0.0,52.0
Vilkitsky,lost,during,2023,0.0,0.0,37.0
Vilkitsky,lost,during,2024,0.0,0.0,48.0
Vilkitsky,lost,post,2025,0.03369868421052631,0.0009868421052631581,104.0
Vilkitsky,lost,post,2026,0.06564755559516913,0.002314956103213156,80.0
Vilkitsky,lost,pre,2019,0.03857434210526316,0.0,79.0
Vilkitsky,lost,pre,2020,0.05250295081967213,0.0008124590163934426,101.0
Vilkitsky,lost,pre,2021,0.08627302631578947,0.001819736842105263,120.0
