region,year,avail,H,Hep
AKcorr_1,2019,0.0037037037037037,0.4558,0.1499
AKcorr_1,2020,0.014652014652014633,0.4456,0.1419
AKcorr_1,2021,0.0110305958132045,0.4627666666666667,0.15163333333333331
AKcorr_1,2022,0.0,0.41283333333333333,0.1133
AKcorr_1,2023,0.0,0.3982666666666667,0.102
AKcorr_1,2024,0.0,0.4196,0.12069999999999999
AKcorr_1,2025,0.0074074074074074,0.47953333333333337,0.16006666666666666
AKcorr_2,2019,0.0037037037037037,0.4764,0.16269999999999998
AKcorr_2,2020,0.051282051282051266,0.4573666666666667,0.1503
AKcorr_2,2021,0.040338164251207696,0.47700000000000004,0.1622
AKcorr_2,2022,0.0,0.42196666666666666,0.11796666666666666
AKcorr_2,2023,0.0,0.41303333333333336,0.11073333333333334
AKcorr_2,2024,0.0,0.4291666666666667,0.12573333333333334
AKcorr_2,2025,0.0074074074074074,0.4929333333333334,0.16856666666666667
AKcorr_3,2019,0.0148148148148148,0.5201333333333333,0.19416666666666668
AKcorr_3,2020,0.036630036630036604,0.5061,0.18766666666666665
AKcorr_3,2021,0.0332528180354267,0.5355333333333333,0.20826666666666668
AKcorr_3,2022,0.0,0.4412,0.1288
AKcorr_3,2023,0.0,0.4549666666666667,0.13736666666666666
AKcorr_3,2024,0.0,0.4449,0.13449999999999998
AKcorr_3,2025,0.0,0.5370333333333334,0.20963333333333334
AKcorr_4,2019,0.022141706924315597,0.4887333333333333,0.17756666666666665
AKcorr_4,2020,0.018315018315018302,0.49396666666666667,0.1834
AKcorr_4,2021,0.03695652173913044,0.5163333333333333,0.20003333333333337
AKcorr_4,2022,0.0,0.40199999999999997,0.11523333333333334
AKcorr_4,2023,0.0,0.4335333333333333,0.12896666666666667
AKcorr_4,2024,0.0,0.4185666666666667,0.12196666666666667
AKcorr_4,2025,0.0,0.5228,0.2043
AKcorr_5,2019,0.0146537842190016,0.38906666666666667,0.12263333333333333
AKcorr_5,2020,0.036630036630036604,0.4338666666666667,0.144
AKcorr_5,2021,0.044283413848631235,0.42743333333333333,0.14033333333333334
AKcorr_5,2022,0.0074074074074074,0.294,0.07083333333333333
AKcorr_5,2023,0.0111111111111111,0.3339666666666667,0.08836666666666666
AKcorr_5,2024,0.014652014652014633,0.33359999999999995,0.08886666666666666
AKcorr_5,2025,0.0148148148148148,0.42113333333333336,0.14283333333333334
AKcorr_6,2019,0.04396135265700479,0.47986666666666666,0.18083333333333332
AKcorr_6,2020,0.11717630195891064,0.5113,0.1994
AKcorr_6,2021,0.08083735909822863,0.47876666666666673,0.1722
AKcorr_6,2022,0.0,0.3496666666666666,0.08456666666666666
AKcorr_6,2023,0.0,0.37233333333333335,0.09653333333333332
AKcorr_6,2024,0.0,0.37736666666666663,0.09883333333333333
AKcorr_6,2025,0.0,0.4311,0.14763333333333334
BaffinBay,2019,0.37780549615902426,0.7306666666666667,0.4734
BaffinBay,2020,0.4262268973601831,0.7307333333333332,0.4809666666666667
BaffinBay,2021,0.5034370792745703,0.7477666666666667,0.5025666666666667
BaffinBay,2022,0.16679073942081776,0.6004333333333333,0.2710666666666667
BaffinBay,2023,0.11333914099416591,0.5821666666666666,0.2522333333333333
BaffinBay,2024,0.16885063143081672,0.6080666666666666,0.2800333333333333
BaffinBay,2025,0.16047358834244077,0.7139666666666665,0.46180000000000004
