region,season,year,H_ge1,H_1to3,H_ge3,H_ge5
LongStrait,melt,2024,0.0399,0.0275,0.0789,0.1121
LongStrait,melt,2025,0.09,0.0631,0.1759,0.2456
LongStrait,melt,2026,0.1155,0.081,0.2255,0.3147
LongStrait,winter,2016,0.0202,0.0135,0.0565,0.0677
LongStrait,winter,2017,0.0809,0.0564,0.2147,0.2478
LongStrait,winter,2018,0.0741,0.05,0.2051,0.2434
LongStrait,winter,2019,0.117,0.0794,0.3204,0.3761
LongStrait,winter,2020,0.1109,0.0752,0.3042,0.3573
LongStrait,winter,2021,0.0932,0.0631,0.2568,0.3034
LongStrait,winter,2022,0.0365,0.0244,0.1019,0.1218
LongStrait,winter,2023,0.0421,0.0282,0.1175,0.1405
LongStrait,winter,2024,0.0366,0.0245,0.1023,0.1224
LongStrait,winter,2025,0.0436,0.0292,0.1216,0.1451
LongStrait,winter,2026,0.1035,0.0702,0.2842,0.3345
Sannikov_DmLaptev,freeze-up,2016,0.1082,0.0796,0.209,0.2752
Sannikov_DmLaptev,freeze-up,2017,0.1544,0.113,0.3005,0.3964
Sannikov_DmLaptev,freeze-up,2018,0.1365,0.0998,0.266,0.3515
Sannikov_DmLaptev,freeze-up,2019,0.0714,0.0518,0.1404,0.1867
Sannikov_DmLaptev,freeze-up,2020,0.0683,0.0493,0.1351,0.1809
Sannikov_DmLaptev,freeze-up,2021,0.0733,0.0531,0.1447,0.1932
Sannikov_DmLaptev,freeze-up,2022,0.019,0.0136,0.0378,0.051
Sannikov_DmLaptev,freeze-up,2023,0.0226,0.0163,0.0451,0.0606
Sannikov_DmLaptev,freeze-up,2024,0.0452,0.0326,0.0895,0.1198
Sannikov_DmLaptev,freeze-up,2025,0.0605,0.0436,0.1202,0.1612
Sannikov_DmLaptev,melt,2016,0.0551,0.0381,0.1087,0.154
Sannikov_DmLaptev,melt,2017,0.1398,0.0988,0.2709,0.3749
Sannikov_DmLaptev,melt,2018,0.0622,0.0433,0.1222,0.1719
Sannikov_DmLaptev,melt,2019,0.0632,0.0442,0.1236,0.1734
Sannikov_DmLaptev,melt,2020,0.0677,0.0472,0.1329,0.1869
Sannikov_DmLaptev,melt,2021,0.0584,0.0406,0.1147,0.1617
Sannikov_DmLaptev,melt,2022,0.0226,0.0156,0.0446,0.0633
Sannikov_DmLaptev,melt,2023,0.0306,0.0211,0.0603,0.0854
Sannikov_DmLaptev,melt,2024,0.0265,0.0183,0.0524,0.0742
Sannikov_DmLaptev,melt,2025,0.0578,0.0401,0.1139,0.161
Sannikov_DmLaptev,melt,2026,0.0382,0.0265,0.0753,0.1063
Sannikov_DmLaptev,winter,2016,0.0299,0.02,0.0836,0.1
Sannikov_DmLaptev,winter,2017,0.0891,0.0607,0.2428,0.2853
Sannikov_DmLaptev,winter,2018,0.1108,0.075,0.3047,0.3592
Sannikov_DmLaptev,winter,2019,0.1057,0.0716,0.2905,0.3425
Sannikov_DmLaptev,winter,2020,0.0611,0.0411,0.1694,0.2011
Sannikov_DmLaptev,winter,2021,0.0457,0.0307,0.1273,0.1519
Sannikov_DmLaptev,winter,2022,0.0292,0.0196,0.0815,0.0971
Sannikov_DmLaptev,winter,2023,0.0211,0.0142,0.0586,0.0696
Sannikov_DmLaptev,winter,2024,0.0089,0.006,0.025,0.0299
Sannikov_DmLaptev,winter,2025,0.0297,0.0199,0.0826,0.0984
Sannikov_DmLaptev,winter,2026,0.0326,0.0219,0.0908,0.1081
Vilkitsky,freeze-up,2016,0.15,0.1122,0.2829,0.3692
Vilkitsky,freeze-up,2017,0.1549,0.1137,0.3002,0.3953
Vilkitsky,freeze-up,2018,0.1002,0.0728,0.1966,0.2616
Vilkitsky,freeze-up,2019,0.0343,0.0247,0.0683,0.0919
Vilkitsky,freeze-up,2020,0.0837,0.0611,0.1634,0.2173
Vilkitsky,freeze-up,2021,0.0782,0.0571,0.1526,0.2027
Vilkitsky,freeze-up,2022,0.0422,0.0304,0.084,0.1128
Vilkitsky,freeze-up,2023,0.0251,0.018,0.05,0.0673
Vilkitsky,freeze-up,2024,0.0546,0.0393,0.1086,0.146
Vilkitsky,freeze-up,2025,0.0922,0.0672,0.1802,0.2403
Vilkitsky,melt,2016,0.1005,0.0707,0.1954,0.2717
Vilkitsky,melt,2017,0.1457,0.1035,0.2804,0.3858
Vilkitsky,melt,2018,0.0728,0.0507,0.1427,0.2007
Vilkitsky,melt,2019,0.0264,0.0183,0.0521,0.0737
Vilkitsky,melt,2020,0.0704,0.0491,0.1378,0.1936
Vilkitsky,melt,2021,0.0599,0.0419,0.117,0.1649
Vilkitsky,melt,2022,0.0398,0.0275,0.0788,0.1119
Vilkitsky,melt,2023,0.0125,0.0086,0.0248,0.0353
Vilkitsky,melt,2024,0.04,0.0276,0.0792,0.1126
Vilkitsky,melt,2025,0.0648,0.0452,0.1268,0.1787
Vilkitsky,melt,2026,0.0879,0.0621,0.1699,0.237
Vilkitsky,winter,2016,0.1,0.068,0.2738,0.3234
Vilkitsky,winter,2017,0.1017,0.07,0.2735,0.3219
Vilkitsky,winter,2018,0.1178,0.0804,0.3204,0.3767
Vilkitsky,winter,2019,0.0786,0.0531,0.2169,0.2567
Vilkitsky,winter,2020,0.0338,0.0227,0.0943,0.1129
Vilkitsky,winter,2021,0.0779,0.0531,0.2126,0.2515
Vilkitsky,winter,2022,0.0367,0.0247,0.1022,0.1216
Vilkitsky,winter,2023,0.041,0.0274,0.1147,0.1373
Vilkitsky,winter,2024,0.0326,0.0218,0.0914,0.1095
Vilkitsky,winter,2025,0.0401,0.0268,0.1121,0.1341
Vilkitsky,winter,2026,0.0632,0.043,0.1728,0.206
